SL No.,CODE,Owner,CC,Clinic Type,S Type,Combo Store,Interior Format,Located,Region,Distrt,Metro /Non-Metro,State,RBM,AM,Contact No,Email ID,City,Location,Opening Date,Store Convt,EMAIL ID2,Ph No.,Store Manager,Address,Pincode,Franchisee Name,Mobile no,Store Name / Firm Name,Franchisee E Mail ID,Carpet Area,Retail Area,Rent,Signage,SUR Code,Pincode2
482,TMDD,Co,8610,M,M ,Regular,Blue,,West,Mumbai,Metro,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,Dadar,7/31/2018,,tmdd@titan.co.in,022-24145459,Sujit,"Titan Eye Plus,Shop No.1 & 2,Vasant Niwas Ranade Road, opp. Dadar railway station, Dadar West,Mumbai - 400028", 400028,Company store ,Company store ,Titan Eye Plus,Company Store,951,744,,New,West 2,400028
412,TMVT,MA,8766,N,N,Regular,Blue,,West,Mumbai,Metro,Maharashtra,Koshy,Siju,9685436643,siju@titan.co.in,Mumbai,Vashi Station Rd,6/30/2017,,tmvt@titan.co.in,022-20870826,Shuaib Pathan,"Titan Eye Plus, Shop No.G-01, Haware Infotech Park, Plot No.39, Beside Reliance Digital, (Near 4 point Hotel Vashi), Station Road Sector 30A, Vashi, Navimumbai - 400706", 400706,Akshay Surendra Mehta,9773145455,N Kumar & Bros Mktg Pvt Ltd,akshaysm@gmail.com,544,534,,New,West 2,400706
410,TMCO,Co,6636,M,Hstreet,Regular,Blue,,West,Mumbai,Metro,Maharashtra,Koshy,Siju,9685436643,siju@titan.co.in,Mumbai,Colaba,6/30/2017,,tmco@titan.co.in,022-22810075 / 76,Gaurav ,"Titan Eye Plus ,Shop No.2,3 & 32, Ruki Mahal Co operative Housing Society Ltd, Shahid Bhagat Singh Road, Colaba, Mumbai- 400005", 400005,Company store ,Company store ,Titan Eye Plus,Company Store,816,589,,New,West 2,400005
402,TMKG,Fr,8779,N,Hstreet,Regular,Blue,,West,Mumbai,Metro,Maharashtra,Koshy,Siju,9685436643,siju@titan.co.in,Mumbai,Kharghar,3/30/2017,,tmkg@titan.co.in,022-27744242,Neeraj,"Titan Eye+,Shop no 42,43,Patel Heritage,Plot 15 & 17,sector 7 , Kharghar, Navimumbai - 410210", 410210,Vikrant Alimchandani,9820959676,Oceanic Ventures,oceanicventures9@gmail.com,602,399,,New,West 2,410210
398,TMAD,Co,8768,N,N,Helios,Blue,,West,Mumbai,Metro,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Mazda Wines,3/30/2017,,tmad@titan.co.in,022-26200552/3,,"Titan Eye Plus,Mazda Wines, SV Road, Andheri west Mumbai - 400056", 400056,Company store ,Company store ,Titan Eye Plus,Company Store,616,,,New,West 2,400056
13,TMCH,MA,8756,M1,Hstreet,Regular,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Siju,9685436643,siju@titan.co.in,Mumbai,Chembur,6/13/2008,July'17 / Feb'18,tmch@titan.co.in,022-66711447,Shailesh Bharati,"Titan Eye +, : Shop No1,XLNC Chamber,Plot No.408, OPP IDBI Bank, Sion Trombay Road,Chembur,Mumbai - 400071", 400071,Mr. Ravi Jaggi / Mr. Rajesh Jaggi,,Jaggi Associates,rajeshjaggi@gmail.com,457,365,2.5,New,West 2,400071
14,TMTA,MA,8607,A,Hstreet,Regular,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,Thane (Nitin Company),6/16/2008,3/30/2018,tmta@titan.co.in,022 -25395500,Manish Kotain,"Titan Eye+, Shreeji Arcade,Shop no 18,G/F,Opp-Nitin Cast,Panch Pakhdi,Thane West,Mumbai,Maharastra-400099",-400099,Manish P Kotian,,Amma Vision Tech,manishpkotian@gmail.com,545,460,531,New,West 2,400602
15,TMVS,Co,6603,BL,Hstreet,Helios,Blue,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Siju,9685436643,siju@titan.co.in,Mumbai,Vashi Se-17,6/16/2008,,tmvs@titan.co.in, 9594687736 / 7021729577,Inamdar,"Titan Eye+, Shop No- 23A & 23, Mahaveer Center, Plot No- 77, Sector No- 17, Vashi- Turbhe  Road, Navi- Mumbai- 400703", 400703,Company store ,Company store ,Titan Eye Plus,Company Store,636,560,2.97812,New,West 2,400703
385,TMGP,MA,8644,N,N,Regular,Blue,,West,Mumbai,Metro  ,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,Ghatkopar,2/28/2017,,tmgp@titan.co.in,2225170092,Kapil Artani,"Titan Eye Plus, No.G-27, R city Mall, Ghatkopar(West), Mumbai - 400086", 400086,Company store ,-,Titan Eye Plus,Company Store,686,557,,New,West 2,400086
378,TMBW,Co,8755,N,N,Regular,Blue,,West,Mumbai,Metro,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Borivali West,1/31/2017,,tmbw@titan.co.in,022 28990244/ 28990240,,"Titan Eye +,Shop No.4, Kent Gardens, Factory Lane,Opp Chintamani Jewellers, Borivali west Mumbai - 400092", 400092,Company store ,Company store ,Titan Eye Plus,Company Store,508,529,,New,West 2,400092
369,TMPK,Co,6244,N,N,WOT,Blue,,West,Mumbai,Metro,Maharashtra,Koshy,Siju,9685436643,siju@titan.co.in,Mumbai,Kurla Phoneix,12/30/2016,,tmpk@titan.co.in,022-61801345 / 41,Naved,"Titan Eye+,Unit No G 11,Phoenix Market City, Kurla,LBS Street,Kurla west,Mumbai - 400070", 400070,Company store ,Company store ,Titan Eye Plus,Company Store,504,473,,New,West 2,400070
366,TMLU,MA,8626,N,N,Regular,Blue,,West,Mumbai,Metro,Maharashtra,Koshy,Siju,9685436643,siju@titan.co.in,Mumbai,Lalbagh,12/30/2016,Sep'18,tmlu@titan.co.in,022 24700180 / 81,Sagar,"Titan Eye Plus,Shop No.12,13,Mehta Building, Dr,Baba Saheb Ambedkar Rd, Gundecha Garden, Lalbaug, Miumbai - 400012", 400012,Shakil Khan,9819597788/02226817562,Maahi Enterprise,shakilkhan777@gmail.com,524,370,,New,West 2,400012
352,TMVI,Fr,8751,N,N,Regular,Blue,,West,Mumbai,Metro,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Vasai,10/10/2016,,tmvi@titan.co.in,  02502333991,Amit Mehta,"Titan Eye+,Shop no.1, Cecil House no.59, Near Union Bank of India, Parvati cross rd, Manikpur, Vasai Mumbai West - 401202", 401202,Parnav P Doshi,8983312221,Premier Agency,wpmmw@titan.co.in,434,294,,New,West 2,401202
317,TMHC,Co,6233,N,HC,Regular,Orange,,West,Mumbai,Metro  ,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Malad Hypercity,3/31/2016,,tmhc@titan.co.in,01572-256256,Tejas Waghmare,"Titan Eye+, Hypercity, next to Inorbit Mall, Malad Link Road, Malad (West), Mumbai - 400064", 400064,Company store ,Company store ,Titan Eye Plus,Company Store,367,268,,New,West 2,400064
309,TMDR,Co,6230,N,N,Regular,Blue,,West,Mumbai,Metro  ,Maharashtra,Koshy,Siju,9685436643,siju@titan.co.in,Mumbai,Dadar,2/29/2016,,tmdr@titan.co.in,022-24145459 / 022-24115452,Mr. Swapnil S Parab,"Titan Eye+, Shop no 1, ground floor, Sonu Lodge, Dadar TT, Mumbai- 400 014",400 014,Company store ,Company store ,Titan Eye Plus,Company Store,477,370,,New,West 2,400014
308,TMLM,Fr,8616,M,N,Regular,Blue,,West,Mumbai,Metro  ,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,L J Mahiam,2/29/2016,Nov'18,tmlm@titan.co.in,022-24473612,Dipika Desai,"Titan Eye+,Near New Citylight Cinema, L J Road, Mahim,Mumbai West - 400016", 400016,MONI KOTAK ,9820259652/9820156130/9820053108,M.K.CREATIONS,kartik.nathvani@gmail.com,783,625,,New,West 2,400016
285,TMGR,Co,6221,M,Hstreet,Regular,Orange,,West,Mumbai,Metro  ,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Goregaon,9/24/2015,,tmgr@titan.co.in,022-40152132 / 33,Mr.Gaurav Sanghani,"Titan Eye+, Shop No 2, Rajanigandha Shopping Centre, Co.Op Society,Ghokuldham, Goregoan (east)Mumbai-400063",-400063,Company store ,Company store ,Titan Eye Plus,Company Store,538,650,1.3,New,West 2,400063
284,TMBD,Co,6449,M,Hstreet,Regular,Orange,,West,Mumbai,Metro  ,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,Bandra,9/16/2015,,tmbd@titan.co.in,022-26435389,Sayed Wasim    ,"Titan Eye+,Shop No.1 ,GF Building, SIB House, 266 Linking Road, Bandra (W), Mumbai-400050",-400050,Company store ,Company store ,Titan Eye Plus,Company Store,846,608,4.68,New,West 2,400050
271,TMKY,MA,8603,N2,N,Regular,Orange,,West,Mumbai,Metro  ,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,Kalayan,5/30/2015,4/1/2018,tmky@titan.co.in,0251-2306144,Shuaib Pathan,"Titan Eye+,Shop no. 20, Ammu Supreme Building, Next to D mart, Bail Bazar Road, Kalyan City, Thane, Mumbai – 421301 ",421301 ,Jivin Panjwani,8828098009,KS Ventures,jivin1996@gmail.com,778,572,1.8,New,West 2,421301
267,TMWI,Co,6206,M1,N,Regular,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,Worli,5/19/2015,,tmwi@titan.co.in,022-24969724,Rahul Kumar Singh,"Titan Eye+,Shop No.003, The Manwani Co Op HSG Society Ltd, Plot No.206, 125, A B Road, Worli Naka, Mumbai - 400018", 400018,Company store ,Company store ,Titan Eye Plus,Company Store,506,322,1.1,New,West 2,400018
231,TMBR,Co,6210,M3,N,Regular,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Bhayender,11/15/2014,,tmbr@titan.co.in,022 28045452 / 28175452,Surjeet Yadav,"Titan Eye+, G-17A, Maxus Mall, Bhayender West Mumbai - 401101", 401101,Company store ,Company store ,Titan Eye Plus,Company Store,618,430,0.96,New,West 2,401101
222,TMVR,Co,6207,SIS,N,Regular,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Virar,9/30/2014,,tmvr@titan.co.in,9028019430,Atul Kumbhar,"Titan Eye+,Shop No. 8 & 9. Arjun Plaza,
Opp- Dominos Pizza,
Nr Old Viva College,
Virar -west , Palghar- 401303", 401303,Company store ,Company store ,Titan Eye Plus,Company Store,390,180,0.5,New,West 2,401303
214,TMFA,Co,6203,M3,N,Regular,Orange,1st Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Infinity Andheri West,8/8/2014,,tmfa@titan.co.in,022-26300048 / 49,Chaitanya Kanade,"Titan Eye+, No. FF106, Infiniti Mall , Andheri Link Road, Andheri West, Mumbai - 400053", 400053,Company store ,Company store ,Titan Eye Plus,Company Store,557,320,1.8,New,West 2,400053
211,TMSN,MA,8625,N2,N,Regular,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Siju,9685436643,siju@titan.co.in,Mumbai,Sion,7/31/2014,3/31/2018,tmsn@titan.co.in,022-24039824,Asha Chandreshakar,"Titan Eye+, Shop No.1, GF, Chaman House, Laxmibai Kelkar Marg, Sion Circle, Sion East Mumbai - 400022", 400022,Sathish Jayapaul,8169551886/9664614537,Karen Sunshine Enterprises,satishjaypaul9@gmail.com,539,360,1.5,New,West 2,400022
173,TMVC,Co,6431,SIS,HC,Regular,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,Vivacity Hypercity,7/31/2013,,tmvc@titan.co.in,022-61701349,Farhan Menon,"Titan Eye+,HyperCity,In Vivacity mall, #22,GF, Nxt Jupite hospital Eastern express highway, Thane (W) Mumbai - 400601", 400601,Company store ,Company store ,Titan Eye Plus,Company Store,430,345,0.14915415,New,West 2,400601
168,TRPS,Fr,6652,N2,N,Regular,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Siju,9685436643,siju@titan.co.in,Mumbai,Belapur (CBD),4/11/2013,,trps@titan.co.in,022-27561990,Venkatesh,"Titan Eye+, Shop no. 21,22,23 Mahaveer Rachana Building, opp. Bhumi Mall, Palm beach rd, CBD Belapur, Navi Mumbai- 400614", 400614,Mangesh Parulekar,9820149871,Shree Sukhakarta,mansi_1306@yahoo.com,536,,0.6,Old,West 2,400614
153,TVHC,Co,6420,SIS,HC,SIS,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Siju,9685436643,siju@titan.co.in,Mumbai,Vashi - Hypercity,7/6/2012,,tvhc@titan.co.in,022-66736472,Mr Siva Nayak,"Titan Eye+,Hyper city, Basement Inorbit Mall, Sector 30/A, Vashi, Navi Mumba- 400705", 400705,Company store ,Company store ,Titan Eye Plus,Company Store,378,198,0.7,New,West 2,400703
140,TMRD,Fr,8772,N2,N,Regular,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Mira Road,1/31/2012,,tmrd@titan.co.in,022-28129957 / 58,Mukesh Dhyani,"Titan Eye+, Shop No.A/23, Sector 10, Opp Allahabad Bank,Near Poonam Sagar, Shanti Nagar, Mira Road-E, Thane - 401107", 401107,Mr. Pranav Doshi & Mr. Sanjay Dagha,08983312221 ( Sanjay Dagha ),Premier Agency,wpmmw@titan.co.in,631,,0.45,Old,West 2,401107
139,TMVE,Fr,8790,M3,N,Regular,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Vile Parle,1/30/2012,Dec'17,tmve@titan.co.in,02266712970 / 02240220030,Mangesh H. Bhogle,"Titan Eye +, Shop No-9 & 10, Tirupati Apts Ltd, Nehru Road, Near Maruti Mandir,Vile Parle-E Mumbai - 400057", 400057,Yogesh Kabra,9321028060,Marudhar Life Style Pvt Ltd,yogeshkabra27@yahoo.com,515,340,1.34,New,West 2,400057
128,TMMW,Co,6661,M3,N,Regular,Blue,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,Mulund West,9/27/2011,,tmmw@titan.co.in,022-67580196,Ajit,"Titan Eye+, Sagar Gardern opp. Domins LBS road, Mulund west Mumbai-400080",-400080,Company store ,Company store ,Titan Eye Plus,Company Store,531,340,1.68,New,West 2,400080
125,TTRM,Co,6409,M3,Hstreet,Helios / WOT,Blue,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,Thane - WOT,8/31/2011,,ttrm@titan.co.in,022-25373204,Fahim Khan,"Titan Eye+, Pitrusmuti, Juntion of Ram Maruti rd and Gokhle Rd, Naupada,Thane - W, Thane-400602",-400602,Company store ,Company store ,Titan Eye Plus,Company Store,612,330,1.650550452,New,West 2,400602
124,TMIM,Co,6673,M2,SIS,SIS,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Malad Infinity Mall ,7/31/2011,,tmim@titan.co.in,022-67655097/67709107,Hanumantha K,"Titan Eye+, 19A,Lower ground, Infinity Mall , Link Road, Malad-W, Mumbai-400 064",400 064,Company store ,Company store ,Titan Eye Plus,Company Store,505,320,1.5,New,West 2,400064
118,TMTH,MA,8795,M2,N,Regular,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,Hiranandani Meadows -Thane West,6/14/2011,Feb'18,tmth@titan.co.in,022-66752400,Mr.Manish Bhatia,"Titan Eye +, Shop no.5, GF, Emerald Plaza, Block No. 2, Hiranandani Meadows, Off. Pokharan Road 2,  Thane (W) Mumbai - 400602", 400602,Swapnil Sadanand Parab,9819845544/9967645544,Swapnil Optocare,swaparab83@gmail.com,802,600,1.904,New,West 2,400602
41,TMWR,Co,6615,BL,Hstreet,Regular,Blue,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,Warden Road,1/31/2009,,tmwr@titan.co.in,022 -66104232,Gayatri Adep,"Titan Eye+, Dhun -Abad # 2C, GF 106, Bhulabhai Desai Road, Warden Road, Next to Sony World, Mumbai - 400036", 400036,Company store ,Company store ,Titan Eye Plus,Company Store,915,650,5,New,West 2,400036
106,TWCZ,Co,6668,SIS,SIS,SIS,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Andheri Crystal Point (Star Bazaar),3/31/2011,,twcz@titan.co.in,022-67255782/789,Omprakash Yadav,"Titan Eye+,Star Bazar,Crystal Point ,Off New Link Road,Andheri West,Mumbai .400 053",400 053,Company store ,Company store ,Titan Eye Plus,Company Store,245,190,0.7,New,West 2,400053
101,TMPW,Fr,8760,N1,N,Regular,Blue,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,Powai,1/31/2011,,tmpw@titan.co.in,022-67251825,Satish Jayapaul,"Titan Eye+, No CG-3, Delphi Building, Ground Floor, Hiranandani Business Park, Powai, Mumbai - 400076", 400076,Khadija Murtuza Chittalwala & Zarina Iqbal Memon,9820037626,UNITED TIMES,mtz.75@hotmail.com,817,,1.9,New,West 2,400076
97,TMFT,Co,6657,M1,Hstreet,Regular,Blue,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Siju,9685436643,siju@titan.co.in,Mumbai,Fort,1/31/2011,,tmft@titan.co.in,022-23830061 /62,Subramanian Shanmugam,"Titan Eye+,Islam building Showroom no 1 & 2, Opp Akbarallys , Veer Nariman Road, Fort, Mumbai - 400001", 400001,Company store ,Company store ,Titan Eye Plus,Company Store,840,514,,New,West 2,400001
91,TMLR,Co,6650,M1,Hstreet,Regular,Blue,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,Linking Road,12/31/2010,,tmlr@titan.co.in,022-26046621,Mr. Pankaj Tiwari,"Titan Eye+, common Wealth,CHS,229,Linking Rd,opp. Shoppers Stop,Bandra West,Mumbai,Maharastra- 400050", 400050,Company store ,Company store ,Titan Eye Plus,Company Store,727,500,5,New,West 2,400054
86,TMBL,Co,6616,M3,Hstreet,Regular,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Borivali SVP Road,11/30/2010,,tmbl@titan.co.in,022-28933325 / 28930182,Surjith,"Titan Eye+,Shop No.3, 4 & 5, GF, Raghuvir, jn of SVP Road & Ganjawala Lane, Borivali West, Mumbai - 400092", 400092,Company store ,Company store ,Titan Eye Plus,Company Store,504,380,1.65,New,West 2,400092
79,TMKV,MA,8800,M3,Hstreet,Regular,Blue,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Kandhivilli (West),9/24/2010,Feb'18,tmkv@titan.co.in,022-42950425 / 28055352,Arjun Vishwakarma,"Ttian Eye+Shop No.5 & 6, GF, Ganesh Manish Co-operative Society, OPP. Dena Bank, S V Road Kandivali - 400067", 400067,Gaurav Manohar Sanghani,,Divine Drishti Optical,gauravsm83@gmail.com,702,590,1.3,New,West 2,400067
69,TMAV,MA,8789,M2,Hstreet,Regular,Orange,G Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Andheri (West),6/26/2010,Oct'17,tmav@titan.co.in,022-67587872 / 67587873,Shakil,"Titan Eye+, Shop No.2, Jamuna Aprt. Opp.to Shoppers Stop, S.V Road, Andheri (W), Mumbai-400058",-400058,Kalp Sheth,,Imperio Enterprise,shethkalp@gmail.com,570,360,2.28,New,West 2,400058
62,TMKD,MA,7926,M2,N,Regular,Blue,1st Floor,West,Mumbai,Metro  ,Maharashtra,Koshy,Imran,8097836781,mohdimran@titan.co.in ,Mumbai,Kandhivilli (East),3/31/2010,Feb'18,tmkd@titan.co.in,022-49240666,Ashok Shetty,"Titan Eye+, Ganesh Aangan Society Shop No :34& 35 Thakur Village  Kandivalli East Mumbai : 400101", 400101,Bhagchand Jain,,PADAM RETAIL,padam.retail@yahoo.com,865,320,1.32,New,West 2,400101
510,TDNI,Fr,8668,N,N,Regular,Blue,,North,Naraina,Metro,Delhi,Jaspreet,Sunil,9911624930,sunilkumar@titan.co.in,Delhi / NCR,Naraina,2/28/2019,,tdni@titan.co.in,011-41675551,,"Titan Eye Plus,C-159, Naraina Industreial Area, Phase I, New Delhi-110028",-110028,Ashok Kumar Daga,9811044982,PROMPT,akd@dagagroup.co.in,493,394,,New,North 1,110028
505,TGUS,Fr,8669,N,N,Regular,Blue,,North,GURGAON,Non-Metro,Haryana,Jaspreet,Vishrut,8860824600,vishrut@titan.co.in,Delhi / NCR,Gurgaon Sec 83 ,1/18/2019,,tgus@titan.co.in,01244088370,,"Titan Eye Plus,GF Shop No. 91, Sapphire 83, Sec 83, Gurugram Haryana 122004", 122004,Mrs.Jyoti Gera,9873859100,Jai Guruji Enterprises,mchayan8@gmail.com ,547,240,,New,North 2,122021
485,TGRD,Fr,8662,N,N,Regular,Blue,,North,Ghaziabad,Non-Metro,Uttar Pradesh,Jaspreet,Anil,98117 32609,anilkumar@titan.co.in,Delhi / NCR,RDC Raj Nagar,9/10/2018,,tgrd@titan.co.in,0120-4263222,,"Titan Eye Plus,GF, Plot No 4, Advocate Chamber RDC Raj Nagar, Ghaziabad, Up - 201002", 201002,Ashok Kumar Daga,9811044982, Nikunj Udyog,akd@dagagroup.co.in,612,364,,New,North 2,201002
483,TGMF,Co,8658,M,M,Regular,Blue,,North,Gurgaon,Non-Metro,Haryana,Jaspreet,Vishrut,8860824600,vishrut@titan.co.in,Delhi / NCR,Gurgaon MGF,8/14/2018,,tgmf@titan.co.in,0124-4016935,,"Titan Eye Plus,Shop No.FF-15,1st Floor, The Metroplolitan,MGF Mall- Gurugram - 122002", 122002,Company store ,Company store ,Titan Eye Plus,Company Store,498,333,,New,North 2,122002
479,TGVH,Fr,8661,N,N,Regular,Blue,,North,Ghaziabad,Non-Metro,Uttar Pradesh,Jaspreet,Anil,98117 32609,anilkumar@titan.co.in,Delhi / NCR,Vaishali,7/25/2018,,tgvh@titan.co.in,0120 427 7763,,"Titan Eye Plus,Plot No.4, Shop No.5, Shriram Plaza,Sector 4 Market, Vaishali, Ghaziabad - 201010", 201010,Amit Seth,9891701008,SKUPA International Pvt Ltd,amit.seth@skupa.in,299,202,,New,North 2,201010
470,TGSP,Fr,8654,N,N,Regular,Blue,,North,GURGAON,Non-Metro,Haryana,Jaspreet,Vishrut,8860824600,vishrut@titan.co.in,Delhi / NCR,South Point Mall,5/19/2018,,tgsp@titan.co.in,0124-4012880,,"Titan Eye Plus,Shop No.UG-16, Golf Couse Road,Sec-53,South Point Mall Gurgaon - 122002", 122002,Ritesh Agarwal,9599382747,Phantom Marketing Pvt Ltd,riteshagarwal@me.com,507,368,,New,North 2,122002
450,TDJR,Fr,8747,N,N,Regular,Blue,,North,West Delhi,Metro,Delhi,Jaspreet,Sunil,9911624930,sunilkumar@titan.co.in,Delhi / NCR,Jail Road,1/31/2018,,tdjr@titan.co.in,011-41251600,,"Titan Eye Plus,GL-12, G-Floor, Bindra Chamber , Jail Road ,  New Delhi - 110058", 110058,Piyush Goyal,9971202663,Negmy Solution,piyush797979@gmail.com,622,424,,New,North 1,110058
449,TDGL,Fr,8748,N,N,LC,LC - Blue,,North,West Delhi,Metro,Delhi,Jaspreet,Sunil,9911624930,sunilkumar@titan.co.in,Delhi / NCR,Mohan Garden,1/31/2018,,tdgl@titan.co.in,8810397455,Narendra maurya,"Titan Eye Plus,A-106, Mohan Garden, main Najafgarh road, Uttam nagar, New Delhi - 110059", 110059,Devesh Patel,9953630009,Swastik Distributors,mail.swastikdistributors@gmail.com,486,332,,New,North 1,110059
432,TDJU,Fr,8738,N,N,Regular,Blue,,North,South Delhi,Metro,Delhi,Jaspreet,Sunil,9911624930,sunilkumar@titan.co.in,Delhi / NCR,Janakpuri,10/30/2017,,tdju@titan.co.in, 011-40395373,,"Titan Eye Plus,C-1 /6 , Janak Puri, New Delhi - 110058", 110058,Sanjay Arora,9810010860,NICEVUE,san2003@gmail.com,551,431,,New,North 1,110058
430,TNJF,Fr,8740,N,N,Regular,Blue,,North,GAUTAM BUDDHA NAGAR,Metro,Uttar Pradesh,Jaspreet,Anil,98117 32609,anilkumar@titan.co.in,Delhi / NCR,Noida -Jagat Farm,10/23/2017,,tnjf@titan.co.in,0120-4571973,,"Titan Eye Plus,No.249 1st Floor,Gurbaksh Plaza,Jagat Farm, Greater Noida,UP - 201308", 201308,Laxminarayan Singhal,9810397574,VIMA Eyecare,drmanojsinghal2014@gmail.com,670,522,,New,North 2,201308
11,TDKA,Co,6800,C,Hstreet,Helios / WOT,Blue,G Floor,North,Central Delhi,Metro  ,Delhi,Jaspreet,Sunil,9911624930,sunilkumar@titan.co.in,Delhi / NCR,Karol Bagh,4/22/2008,,tdka@titan.co.in,011-45081302,​Mr. Ajnesh Kumar,"Titan Eye Plus, # 17 A/ 10, WEA Ajmal Khan Road, Karol Bagh, New Delhi - 110 005",110 005,Company store ,Company store ,Titan Eye Plus,Company Store,600,,1.2,New,North 1,110005
423,TDVJ,Co,6874,M,Mall,Helios / WOT,Blue,,North,South West Delhi,Metro,Delhi,Jaspreet,Vishrut,8860824600,vishrut@titan.co.in,Delhi / NCR,Vasant Kunj,9/27/2017,,tdvj@titan.co.in,011-40870723,Pankaj Paliwal,"Titan Eye Plus,Shop No.F112 & F-124 1st flr, Ambience Mall, Plot No.2, Nelson Mandela Marg,Vasant Kunj, Delhi - 110070", 110070,Company store ,Company store ,Titan Eye Plus,Company Store,495,586,,New,North 1,110070
388,TDAM,Co,6316,N,N,Regular,Blue,,North,Gurgaon,Non-Metro,Haryana,Jaspreet,Vishrut,8860824600,vishrut@titan.co.in,Delhi / NCR,Ambiance Mall,2/28/2017,,tdam@titan.co.in,0124-4665505,,"Titan Eye Plus,S- 242, Ambience Mall ,Gurgaon - 122001", 122001,Company store ,Company store ,Titan Eye Plus,Company Store,531,197,,New,North 2,122001
386,TDDK,Fr,8730,N,N,Regular,Blue,,North,South West Delhi,Metro,Delhi,Jaspreet,Vishrut,8860824600,vishrut@titan.co.in,Delhi / NCR,Dwaraka Sec 12,2/28/2017,,tddk@titan.co.in,011-49099772,Sushil Sharma,"Titan Eye Plus, Plot No.12, GF, Vardhman Sunder Plaza, MLU sector 12, Dwarka, Delhi - 110078", 110078,"Kunal S. Kapre , Sidharth Agarwal",9711272692/9990253888,S.K. Enterprises,titaneyedwarka@gmail.com,255,182,1.25,New,North 1,110078
354,TDMH,Fr,8724,N,N,WOT,Blue,,North,East Delhi,Metro,Delhi,Jaspreet,Anil,98117 32609,anilkumar@titan.co.in,Delhi / NCR,Mayur Vihar,10/24/2016,,tdmh@titan.co.in,011-42420550,Hans Raj Aggarwal,"Titan Eye +,C\4\17 Acharyaganj Road,Mayur Vihar 1,Delhi - 110091", 110091,Ashok Daga,9811044982,Prompt,akd@dagagroup.co.in,506,812,0.6,New,North 1,110091
